datum;pegel;wasserstand
2020-02-27 20:46:43;Grafhorst;101
2020-02-27 20:46:43;Brenneckenbrück;271
2020-02-27 20:46:43;Langlingen;406
2020-02-27 20:46:43;Celle;341
2020-02-27 20:46:43;Marklendorf;275
2020-02-27 20:46:43;Ahlden;Kei
2020-02-27 20:46:43;Rethem;Kei
2020-02-27 20:46:43;Eitze;517
2020-02-28 20:06:37;Grafhorst;90 
2020-02-28 20:06:37;Brenneckenbrück;251
2020-02-28 20:06:37;Langlingen;403
2020-02-28 20:06:37;Celle;337
2020-02-28 20:06:37;Marklendorf;282
2020-02-28 20:06:37;Ahlden;374
2020-02-28 20:06:37;Rethem;388
2020-02-28 20:06:37;Eitze;526
2020-02-28 21:14:22;Grafhorst;91 
2020-02-28 21:14:22;Brenneckenbrück;250
2020-02-28 21:14:22;Langlingen;402
2020-02-28 21:14:22;Celle;335
2020-02-28 21:14:22;Marklendorf;280
2020-02-28 21:14:22;Ahlden;375
2020-02-28 21:14:22;Rethem;388
2020-02-28 21:14:22;Eitze;524
2020-02-28 22:14:28;Grafhorst;90 
2020-02-28 22:14:28;Brenneckenbrück;249
2020-02-28 22:14:28;Langlingen;401
2020-02-28 22:14:28;Celle;334
2020-02-28 22:14:28;Marklendorf;281
2020-02-28 22:14:28;Ahlden;375
2020-02-28 22:14:28;Rethem;388
2020-02-28 22:14:28;Eitze;526
2020-02-28 23:14:35;Grafhorst;89 
2020-02-28 23:14:35;Brenneckenbrück;248
2020-02-28 23:14:35;Langlingen;401
2020-02-28 23:14:35;Celle;334
2020-02-28 23:14:35;Marklendorf;281
2020-02-28 23:14:35;Ahlden;375
2020-02-28 23:14:35;Rethem;388
2020-02-28 23:14:35;Eitze;526
2020-02-29 00:14:41;Grafhorst;89 
2020-02-29 00:14:41;Brenneckenbrück;248
2020-02-29 00:14:41;Langlingen;401
2020-02-29 00:14:41;Celle;334
2020-02-29 00:14:41;Marklendorf;281
2020-02-29 00:14:41;Ahlden;375
2020-02-29 00:14:41;Rethem;388
2020-02-29 00:14:41;Eitze;526
2020-02-29 01:14:48;Grafhorst;89 
2020-02-29 01:14:48;Brenneckenbrück;247
2020-02-29 01:14:48;Langlingen;401
2020-02-29 01:14:48;Celle;334
2020-02-29 01:14:48;Marklendorf;280
2020-02-29 01:14:48;Ahlden;375
2020-02-29 01:14:48;Rethem;388
2020-02-29 01:14:48;Eitze;527
2020-02-29 02:14:56;Grafhorst;89 
2020-02-29 02:14:56;Brenneckenbrück;246
2020-02-29 02:14:56;Langlingen;401
2020-02-29 02:14:56;Celle;334
2020-02-29 02:14:56;Marklendorf;280
2020-02-29 02:14:56;Ahlden;375
2020-02-29 02:14:56;Rethem;388
2020-02-29 02:14:56;Eitze;528
2020-02-29 03:15:01;Grafhorst;89 
2020-02-29 03:15:01;Brenneckenbrück;246
2020-02-29 03:15:01;Langlingen;401
2020-02-29 03:15:01;Celle;334
2020-02-29 03:15:01;Marklendorf;280
2020-02-29 03:15:01;Ahlden;Kei
2020-02-29 03:15:01;Rethem;Kei
2020-02-29 03:15:01;Eitze;528
2020-02-29 04:15:08;Grafhorst;89 
2020-02-29 04:15:08;Brenneckenbrück;247
2020-02-29 04:15:08;Langlingen;400
2020-02-29 04:15:08;Celle;334
2020-02-29 04:15:08;Marklendorf;280
2020-02-29 04:15:08;Ahlden;376
2020-02-29 04:15:08;Rethem;389
2020-02-29 04:15:08;Eitze;528
2020-02-29 05:15:16;Grafhorst;90 
2020-02-29 05:15:16;Brenneckenbrück;247
2020-02-29 05:15:16;Langlingen;400
2020-02-29 05:15:16;Celle;334
2020-02-29 05:15:16;Marklendorf;280
2020-02-29 05:15:16;Ahlden;376
2020-02-29 05:15:16;Rethem;389
2020-02-29 05:15:16;Eitze;529
2020-02-29 06:15:24;Grafhorst;91 
2020-02-29 06:15:24;Brenneckenbrück;248
2020-02-29 06:15:24;Langlingen;400
2020-02-29 06:15:24;Celle;335
2020-02-29 06:15:24;Marklendorf;280
2020-02-29 06:15:24;Ahlden;376
2020-02-29 06:15:24;Rethem;389
2020-02-29 06:15:24;Eitze;530
2020-02-29 07:15:29;Grafhorst;93 
2020-02-29 07:15:29;Brenneckenbrück;249
2020-02-29 07:15:29;Langlingen;399
2020-02-29 07:15:29;Celle;335
2020-02-29 07:15:29;Marklendorf;279
2020-02-29 07:15:29;Ahlden;376
2020-02-29 07:15:29;Rethem;389
2020-02-29 07:15:29;Eitze;530
2020-02-29 08:15:43;Grafhorst;96 
2020-02-29 08:15:43;Brenneckenbrück;250
2020-02-29 08:15:43;Langlingen;400
2020-02-29 08:15:43;Celle;335
2020-02-29 08:15:43;Marklendorf;279
2020-02-29 08:15:43;Ahlden;376
2020-02-29 08:15:43;Rethem;389
2020-02-29 08:15:43;Eitze;530
2020-02-29 09:15:53;Grafhorst;101
2020-02-29 09:15:53;Brenneckenbrück;250
2020-02-29 09:15:53;Langlingen;400
2020-02-29 09:15:53;Celle;335
2020-02-29 09:15:53;Marklendorf;277
2020-02-29 09:15:53;Ahlden;375
2020-02-29 09:15:53;Rethem;390
