['54 ', '168', '360', '186', '118', '138', '171', '323']
['54 ', '168', '361', '186', '118', '139', '171', '323']
['55 ', '169', '360', '189', '120', '139', '172', '323']
['55 ', '170', '361', '190', '120', '140', '173', '323']
['58 ', '170', '361', '192', '120', '140', '174', '324']
['61 ', '171', '361', '192', '120', '140', '174', '324']
['64 ', '172', '361', '192', '118', '140', '174', '324']
['65 ', '172', '361', '194', '120', '141', '176', '325']
['66 ', '173', '361', '194', '120', '141', '176', '325']
['67 ', '174', '363', '194', '117', '143', '177', '326']
['67 ', '175', '363', '195', '122', '144', '177', '326']
['68 ', '175', '361', '195', '123', '145', '178', '326']
['68 ', '175', '361', '195', '123', '146', '178', '326']
['68 ', '176', '361', '195', '123', '146', '178', '326']
['68 ', '178', '362', '198', '126', '148', '179', '328']
['68 ', '179', '362', '200', '130', '150', '181', '328']
['69 ', '179', '364', '200', '130', '150', '181', '329']
['69 ', '179', '362', '201', '132', '154', '184', '329']
['69 ', '179', '363', '201', '132', '155', '185', '330']
['69 ', '180', '362', '201', '133', '156', '186', '331']
['70 ', '180', '362', '202', '133', '156', '187', '331']
['70 ', '179', '362', '203', '132', '156', '187', '332']
['70 ', '180', '363', '204', '135', '158', '189', '333']
['69 ', '180', '362', '204', '135', '158', '190', '334']
['69 ', '180', '363', '205', '135', '158', '191', '335']
['69 ', '180', '363', '206', '136', '159', '192', '336']
['69 ', '180', '363', '206', '136', '159', '192', '336']
['69 ', '180', '364', '206', '138', '159', '194', '337']
['69 ', '180', '364', '206', '138', '160', '194', '337']
['69 ', '180', '363', '207', '139', '160', '194', '338']
['69 ', '180', '363', '208', '140', '161', '196', '339']
['69 ', '180', '363', '209', '141', '162', '196', '340']
['69 ', '180', '363', '210', '141', '162', '196', '341']
['69 ', '181', '363', '211', '142', '163', '198', '342']
['69 ', '181', '364', '212', '142', '163', '198', '342']
['69 ', '181', '362', '212', '142', '164', '199', '343']
['69 ', '181', '363', '212', '143', '165', '199', '344']
['69 ', '182', '363', '212', '143', '165', '200', '345']
['69 ', '182', '362', '212', '143', '166', '200', '345']
['69 ', '183', '364', '213', '143', '167', '201', '346']
['69 ', '182', '363', '213', '146', '167', '202', '347']
['70 ', '182', '364', '213', '145', '167', '203', '348']
['70 ', '183', '364', '213', '146', '169', '203', '348']
['70 ', '184', '365', '214', '147', '170', '204', '349']
['71 ', '184', '364', '214', '147', '171', '205', '349']
['71 ', '184', '364', '214', '146', '172', '206', '350']
['71 ', '185', '364', '215', '145', '173', '206', '351']
['71 ', '186', '366', '216', '146', '174', '207', '352']
['72 ', '186', '367', '216', '146', '175', '209', '352']
['72 ', '186', '370', '217', '146', '176', '210', '353']
['72 ', '187', '369', '217', '146', '176', '210', '353']
['73 ', '186', '367', '220', '148', '178', '212', '354']
['73 ', '187', '366', '220', '149', '178', '212', '354']
['73 ', '188', '365', '224', '149', '179', '213', '355']
['74 ', '189', '362', '228', '149', '180', '215', '356']
['74 ', '190', '364', '229', '148', '184', '216', '357']
['74 ', '190', '364', '228', '156', '186', '218', '358']
['74 ', '190', '364', '228', '158', '187', '219', '359']
['74 ', '191', '364', '227', '160', '190', '220', '360']
['75 ', '191', '365', '227', '160', '192', '222', '361']
['75 ', '192', '365', '232', '160', '194', '224', '362']
['77 ', '194', '367', '234', '160', '196', '225', '363']
['77 ', '197', '366', '233', '160', '198', '225', '364']
['77 ', '198', '365', '232', '161', '200', '229', '366']
['77 ', '199', '365', '232', '161', '202', '231', '367']
['78 ', '199', '366', '233', '162', '204', '233', '368']
['78 ', '199', '367', '234', '162', '206', '235', '369']
['78 ', '200', '368', '234', '164', '207', '236', '371']
['78 ', '201', '369', '234', '166', '209', '238', '372']
['79 ', '202', '369', '234', '165', '210', '238', '373']
['79 ', '203', '369', '231', '165', '211', '240', '375']
